City,Restaurant,Price,Avg ratings,Food type,Delivery time
Kolkata,Aatithya,400,2.9,"Chinese,Bengali",75
Ahmedabad,Ab Chai Pe Charcha,200,3.3,"Snacks,Fast Food,Beverages",45
Chennai,Ab S-Absolute Barbecues,500,3.2,"North Indian,Mughlai,Chinese,Biryani,Grill,Barbecue,Seafood,Burmese",72
Hyderabad,Ab'S-Absolute Barbecues,500,3.5,"Barbecue,Biryani,Chinese",70
Chennai,Abang Raju'S Nasi Goreng,350,2.9,"Singaporean,Malaysian",75
Kolkata,Abar Baithak,550,4.5,Fast Food,81
Kolkata,Abar Bangali,300,3.8,Bengali,66
Kolkata,Abar Khabo One,100,4.6,"Indian,Chinese",74
Kolkata,Abar Khaboo,300,4,"Chinese,Biryani,Indian,Oriental",60
Chennai,Abbu-Bhais - Kebabs Shawarmas & Grills,400,3.8,Arabian,76
Chennai,Abbys,250,4.1,"South Indian,North Indian,Snacks,Combo,Beverages",47
Delhi,Abbys -The Food Hub,300,2.9,"North Indian,Fast Food,Beverages",49
Bangalore,Abc Kolkata Kitchen,250,2.9,"Indian,Chinese,Seafood,Kebabs,Snacks,Combo",45
Kolkata,Abcos Food Plaza,1200,4.3,"Bengali,Continental,North Indian,Chinese",63
Kolkata,Abdullah 16,250,4.2,"Chinese,Indian,North Indian",65
Mumbai,Abhi Fast Food,150,3.6,"Fast Food,Snacks,Beverages",60
Mumbai,Abhi'S Kitchen,450,4,Indian,66
Pune,Abhi'S Kitchen,250,4,"Chinese,Beverages",50
Pune,Abhiman Pure Veg,450,4.4,"North Indian,Chinese",50
Kolkata,Abhinandan Ravi Ji,200,2.9,"Sweets,Snacks,Combo",44
Hyderabad,Abhiruchi Swagruha Foods,250,4.5,Sweets  Snacks,62
Pune,Abhis Corner By Samarth Foods,150,2.9,"Fast Food,Italian,Chinese",38
Pune,Abhishek Non Veg Restaurant,800,4.3,"North Indian,Chinese,Seafood",40
Pune,Abhishek Veg Restaurant,400,4.3,"North Indian,Chinese,Fast Food",47
Chennai,Abid'S,700,4.5,"Arabian,Biryani,Chinese,Grill,Hyderabadi,Indian,North Indian,Tandoor",35
Hyderabad,Abids Bistro  Royalton Hotel,450,2.9,"Chinese,Kebabs,North Indian,South Indian,Tandoor",57
Kolkata,Absabsolute Barbecues,500,4.2,"North Indian,Mughlai,Chinese,Barbecue,Grill,Seafood,Biryani",83
Pune,Absolute China,200,3.9,Chinese,34
Bangalore,Absolute Combos,400,2.9,"Andhra,Biryani,Chinese",58
Hyderabad,Absolute Froot,150,2.9,Beverages,61
Chennai,Absolute Thai,1400,4.4,"Thai,Pan-Asian",71
Surat,Abu Baba Pizza Corner,400,4.1,"Fast Food,North Indian",44
Hyderabad,Abu Faisal Restaurant Arabian Food,600,2.9,"Indian,Desserts",72
Hyderabad,Abu Shawarmas,200,4.2,"Arabian,Lebanese",45
Chennai,Achayathis Restaurant,600,4.3,Kerala,63
Mumbai,Achija,200,4.1,"Fast Food,Snacks",44
Mumbai,Achija Veg Restaurants,700,2.9,"North Indian,South Indian,Chinese,Beverages",44
Chennai,Achu'S Cakes & Bakes,150,2.9,Bakery,71
Kolkata,Acs Chinese Flavour,300,4,Chinese,45
Kolkata,Ad Food Corner,150,2.9,Chinese,82
Hyderabad,Adam Bakers,150,3.9,Bakery,68
Kolkata,Adda & Biryani,500,2.9,"Biryani,North Indian,Combo",77
Kolkata,Adi Sree Hari Mistanna Bhandar,100,4.5,"Sweets,Desserts,Combo,Snacks",63
Bangalore,Adiga'S,200,3.9,"South Indian,North Indian,Chinese,Thalis,Fast Food,Juices,Desserts",39
Kolkata,Adil Biryani Centre,200,4.1,Biryani,58
Kolkata,Adil Biryani Restaurant,300,4.2,"Biryani,Kebabs,Mughlai",56
Bangalore,Adithya Tiffin Centre,200,2.9,North Indian,46
Pune,Aditri Veg Restaurant,200,3.9,"Indian,South Indian,Chinese,Juices,Beverages,Tandoor,Maharashtrian",53
Mumbai,Aditya,850,4.2,Mughlai  North Indian  Chinese,56
Chennai,Adyar Vaishanava S Thattu Idli Kadai,300,4.1,South Indian,62
Hyderabad,Ae-Spice Villa,380,3,"Indian,Fast Food",68
Ahmedabad,Aesh Cafe,200,2.9,"Continental,Italian,Pizzas,Snacks",47
Pune,Afc American Fried Chicken,300,4,Fast Food,65
Mumbai,Afghan Darbar Chinese Corner,240,2.9,"Chinese,Biryani",45
Ahmedabad,Afood Aholic,300,2.9,"Chinese,Indian,North Indian",48
Mumbai,Afra Alfaham Grill Corner,400,2.9,"Grill,Chinese",57
Mumbai,Afra Falooda Darbar,250,2.9,Beverages  Desserts,54
Mumbai,Afra Mughlai Darbar,450,4.5,Indian  Chinese  Desserts  Juices,54
Kolkata,Afraa Deli-Sector 1,700,4.3,"Continental,Fast Food,Italian,Beverages",67
Kolkata,Afraa Lounge,1500,4.2,"Chinese,Continental,Indian,Combo",69
Chennai,Afresh,100,5,"Healthy Food,Salads,Desserts,Beverages",50
Kolkata,Afsa Biriyani,200,2.9,Biryani,71
Ahmedabad,After Dark,300,4.2,Indian,47
Kolkata,Agarwal - The Veg Kitchen,300,3.8,Indian,89
Ahmedabad,Agarwal Cake & Bakery,100,2.9,"Bakery,Desserts,Combo,Indian",79
Mumbai,Agarwal Fast Food Pure Veg,200,4.2,Street Food  North Indian,52
Mumbai,Agarwal Parathas And Snacks,250,3.7,Snacks,56
Kolkata,Agarwal'S Kitchen,250,4.2,"Combo,Thalis,North Indian,Desserts,Beverages",72
Mumbai,Agarwal'S Kulfi N Roll,250,4.4,Desserts,45
Kolkata,Agarwal'S Street Cafe,200,2.9,"American,Fast Food,Italian,Snacks",91
Kolkata,Agarwal'S Vegetarian,250,4.2,"Street Food,North Indian,Chinese,South Indian,Fast Food",89
Pune,Agatya Thali,250,2.9,"Biryani,Hyderabadi",33
Delhi,Aggarwal Standard Sweets,250,3.8,"Sweets,Snacks",72
Delhi,Aggarwal Sweets,200,3.8,"Snacks,Desserts",74
Hyderabad,Agra Mithai Ghar And Restaurant,200,4.3,"Sweets,Beverages,Chaat,Desserts,Fast Food",38
Hyderabad,Agra Sandwich Pasta  Momos Corner,300,2.9,"Italian,Snacks",36
Hyderabad,Agra Sweet House,180,2.9,"Sweets,Snacks",43
Hyderabad,Agra Sweets Banjara,250,4.3,"Sweets,Desserts,Chaat,Snacks,Beverages",46
Hyderabad,Agrawala Sweets,250,4.3,"Sweets,Fast Food",27
Mumbai,Agrawals Juice And Fast Food Centre,300,4.7,Fast Food,41
Kolkata,Ahar Amaze,200,2.9,"Indian,Chinese",81
Ahmedabad,Ahmedabad Fast Food,200,2.9,"Pizzas,Fast Food,Chinese",44
Surat,Ahmedi Hotel,200,4,"Mughlai,Desserts",40
Delhi,Aioli Bistro,1000,4.2,"Italian,Continental,Pizzas,Salads,Pastas,Desserts",65
Chennai,Airborne Carnival,400,2.9,"Fast Food,Beverages",49
Bangalore,Airlines Hotel,500,4.3,"South Indian,North Indian",32
Mumbai,Aj'S Bistro,800,2.9,Fast Food  Italian  Mexican  Beverages,37
Surat,Ajay S,200,2.9,"Italian,North Indian",62
Surat,Ajays Takeaway Foods,150,2.9,Fast Food,57
Bangalore,Ajji Ruchi Kitchen,300,4.1,Indian,57
Chennai,Ajnabi Mithaai Ghar,200,4.6,"Chaat,Sweets",61
Hyderabad,Ajooba Food Court,250,2.9,"Chinese,Sweets,Beverages",53
Mumbai,Akash Chinese,300,2.9,"Chinese,Tandoor",37
Bangalore,Akkad Bakkad - Kids Meals,400,2.9,"North Indian,Punjabi,Street Food,South Indian",53
Ahmedabad,Akkad Bakkad Bombay Boo,250,2.9,Fast Food,49
Mumbai,Akkad Bakkad Bombay Boom,250,4.5,"Snacks,Italian,Pizzas",52
Pune,Akkags T.R Sharma Shegoan Kachori Center,100,2.9,Street Food,37
Chennai,Aks Kabab,300,4.1,"South Indian,Indian,Fast Food,Street Food,Kebabs,Mughlai",49
Mumbai,Aksha Dhaba,300,2.9,Mughlai  Arabian  Tandoor  Chinese  Seafood,43
Surat,Akshar Fast Food,200,3.5,"Fast Food,Chinese",53
Surat,Akshar Pavbhaji And Chinese,200,2.9,"Fast Food,Chinese,Indian",50
Surat,Akshar Varni Pavbhaji,200,2.9,"Street Food,Chinese,South Indian",55
Pune,Akshay Court,550,2.9,"North Indian,Chinese,Seafood,Biryani",60
Chennai,Akshaya Veg Restaurant,150,3.9,Indian,45
Chennai,Akshayam Sweets N Bakers,300,4.4,"South Indian,North Indian,Chinese",65
Hyderabad,Akson Restaurant,250,4.3,"North Indian,Biryani,Kerala",53
Hyderabad,Al - Akbar Fast Food Corner,200,4.2,"North Indian,Chinese",45
Hyderabad,Al Akbar Fast Food,200,4.2,"Chinese,North Indian",38
Hyderabad,Al Arabian Shawarma,150,4.2,Arabian,35
Chennai,Al Baik,500,3.3,Indian,40
Mumbai,Al Baik Fast Food,250,4.1,Fast Food,36
Hyderabad,Al Baik Shawarma,200,4.2,Arabian,49
Hyderabad,Al Baik Shawarma & Juice Point,250,4.1,"Juices,Fast Food",27
Mumbai,Al Baik.Com,300,4.1,Snacks  Pizzas,59
Pune,Al Barkat,300,2.9,"North Indian,Fast Food,Chinese,Mughlai",52
Chennai,Al Dari Biryani,350,3.6,"Biryani,Indian",79
Chennai,Al Darik Beef Briyani,200,3.8,South Indian,65
Mumbai,Al Hamdan Restaurant,400,3.6,North Indian  Mughlai  Biryani  Beverages  Afghani  Desserts,50
Hyderabad,Al Hashmi Arabian Shawarma & Fast Food,150,3.6,Fast Food,57
Hyderabad,Al Hashmi Arabian Shawarma House,250,3,"Street Food,Arabian",54
Kolkata,Al Helal Restaurant,150,4.2,Biryani  Mughlai,51
Hyderabad,Al Ibrahim Hotel,250,4.2,Biryani,42
Ahmedabad,Al Kafeel Biryani,250,2.9,"North Indian,Biryani",34
Hyderabad,Al Karam Kalyani Biryani,200,3.1,Biryani,55
Mumbai,Al Kareem Restaurant,200,2.9,Indian,51
Delhi,Al Karim S Foods,200,3.9,Indian,44
Hyderabad,Al Madina Chicken Haleem,150,3.3,"North Indian,Chinese,Biryani",48
Hyderabad,Al Madina Mandi House,400,3.9,"Biryani,Arabian,Fast Food",34
Pune,Al Mizan Biryani House,250,2.9,"Biryani,North Indian",47
Bangalore,Al Pizza Corner,250,2.9,"Pizzas,Ice Cream,Continental,Desserts",44
Hyderabad,Al Rabea Al Arabi Cafeteria,250,4.3,"Lebanese,Arabian,Fast Food",49
Hyderabad,Al Saud Bait Al Mandi,250,4,Arabian,34
Chennai,Al Souk,400,4.3,"Juices,Grill,Arabian",51
Hyderabad,Al Yousufain Fast Food,300,4.1,"Indian,Fast Food",30
Mumbai,Al Zaika,250,3.8,North Indian  Chinese  Fast Food  Desserts,52
Mumbai,Al Zaika Dhaba,300,2.9,Indian  Biryani  Chinese  Beverages  Seafood  Tandoor,30
Mumbai,Al Zaiqa,200,2.9,Indian  Chinese  Kebabs  Fast Food  Combo,51
Bangalore,Al- Bek,400,3.9,"Mughlai,North Indian",58
Kolkata,Al-Baik,300,2.9,"Indian,Fast Food",52
Ahmedabad,Al-Baik Fast Food,400,4.3,"Arabian,Grill,Pizzas,Seafood,Fast Food,Tandoor",36
Mumbai,Al-Baik.Com,300,2.9,"Beverages,Snacks,Pizzas",43
Ahmedabad,Al-Hamza,300,3.8,"Indian,Mughlai,Afghani",39
Mumbai,Al-Kabeer Arabian Shawarma & Momos,200,4.2,"Tibetan,Lebanese,Fast Food,Tandoor",38
Hyderabad,Al-Madina Chinese Fast Food And Arabian Shawarma,300,2.9,Chinese,32
Mumbai,Al-Nf Restaurant,200,2.9,Chinese  Fast Food,35
Surat,Al-Shifa Biryani,300,2.9,"Biryani,Mughlai",44
Hyderabad,Al-Tazaj Fried Chicken,200,4,"Italian,Beverages,Fast Food",51
Kolkata,Albela Biriyani,200,4.2,Mughlai,64
Kolkata,Albela Biryani,200,4.1,"Biryani,Tandoor",70
Surat,Albela Cold Drink & Juice Center,200,4.4,"Ice Cream,Beverages",34
Hyderabad,Alex'S Kitchen,350,4.2,Chinese,39
Mumbai,Alfaham Grill Corner,300,2.9,American  Chinese  Indian,52
Kolkata,Alfresco - The Lalit Great Eastern,1100,2.9,Indian,57
Delhi,Ali- Karim'S Food,300,2.8,"Indian,Mughlai",59
Chennai,Alibaba Shawarma And 40 Dishes,300,4.1,"Arabian,Kebabs,Snacks",61
Ahmedabad,Alif Sandburg,300,2.9,Snacks,44
Bangalore,Aligarh House,400,3.8,"Biryani,Mughlai,Kebabs,North Indian,Desserts,Beverages,Combo",40
Ahmedabad,Alinea Restaurant & Banquet,550,4.1,"Indian,Chinese,Continental,Italian,Mexican",32
Kolkata,Alishan Biryani,200,4,Biryani,41
Hyderabad,All About Garlic Bread,300,2.9,Fast Food,43
Kolkata,All Day Breakfast,350,2.9,Bengali  Snacks  Indian,77
Chennai,All Day Breakfast Company,300,4.5,"Beverages,Indian",69
Mumbai,All Elements,800,4.4,Pizzas  Pastas  Italian  Snacks  Continental  Desserts  American  Salads,65
Mumbai,All Fruits Juice,300,2.9,"Beverages,Juices",55
Ahmedabad,All In One  Food Point,250,2.9,"Snacks,Italian,Continental",52
Mumbai,All Stir Fry - Waterstones Hotel,1000,4,Asian  Chinese  Pan-Asian  Thai  Oriental  Indonesian  Seafood  Desserts  Combo,60
Kolkata,Allen Kitchen Saveurs De Calcutta,200,4.2,"Fast Food,North Indian,Mexican,Snacks",73
Ahmedabad,Alma Of Aliments,100,2.9,"Fast Food,Indian",52
Hyderabad,Almond House,800,4.6,"Sweets,Desserts,Snacks",29
Surat,Alpha Restaurant,300,4.4,"Punjabi,Chinese",26
Ahmedabad,Alpine Restaurant & Banquet,800,2.9,"Indian,Chinese",32
Kolkata,Alt-The Healthy Kitchen,400,4.2,"Healthy Food,Thalis,Beverages,Pizzas,Chinese",80
Bangalore,Altaf'S Chillies Restaurants,250,4.3,"North Indian,Chinese",55
Chennai,Am Biryani,400,3.6,Biryani,58
Delhi,Am2Pm Fitness Cafe,200,3.7,"Beverages,Thalis,Indian",53
Bangalore,Amadora Gourmet Ice Cream & Sorbet,450,4.5,Desserts,33
Chennai,Amadora Gourmet Ice Creams,300,4.7,"Ice Cream,Desserts",36
Pune,Amalgam - Fusion Food,500,2.9,"Continental,Italian,Bakery,Pan-Asian,Oriental",47
Hyderabad,Amantran Bengali Restaurant,200,4.1,"Bengali,North Indian,Chinese,Home Food,Thalis,Beverages",41
Surat,Amar Bhandari Tiffin House,200,2.9,"Indian,Seafood",38
Mumbai,Amar Juice Centre,450,4.3,Street Food  Juices  South Indian,50
Chennai,Amaravathi,650,4.2,"Indian,Chinese,Andhra,Tandoor",53
Chennai,Amaravathi Andhra Home Foods,300,4.6,"Andhra,Indian,North Indian",50
Hyderabad,Amaravathi Family Restaurant,500,4.1,"Indian,Chinese,Tandoor",69
Hyderabad,Amaravathi Restaurant,400,4,"North Indian,Chinese",63
Surat,Amardeep Icecream & Juices,200,4.7,Desserts,56
Hyderabad,Amay Tiffin Corner (Amul),100,4.1,South Indian,29
Mumbai,Amazing Dosa,200,3.8,South Indian,39
Ahmedabad,Amazing Snacks,300,2.9,"Chinese,Beverages",49
